,Name,Year,Kilometers_Driven,Fuel_Type,Mileage,Engine,Power,Price
846,Maruti Ertiga ZDI,2014,64000,Diesel,20.77,1248,88.8,7.25
847,Ford Figo Diesel,2013,51000,Diesel,20.0,1399,68.05,3.2
848,Volkswagen Polo 1.2,2014,57000,Petrol,16.47,1198,74.0,3.95
849,Audi A6 3.0,2009,48040,Diesel,16.77,2967,241.38,12.07
850,Toyota Innova Crysta,2017,43200,Diesel,13.68,2393,147.8,18.6
851,Hyundai Verna 1.6,2013,66000,Diesel,22.32,1582,126.3,5.7
852,Hyundai Santro Xing,2013,31000,Petrol,17.92,1086,62.1,1.75
853,Audi A4 2.0,2011,46000,Diesel,16.55,1968,147.51,10.99
854,Audi A4 2.0,2012,47346,Diesel,16.55,1968,147.51,14.5
855,Skoda Laura 1.9,2009,100000,Diesel,17.0,1896,105.0,3.11
856,Honda CR-V 2.0L,2015,63856,Petrol,13.7,1997,153.86,13.96
857,Hyundai Verna 1.6,2015,72996,Diesel,22.32,1582,126.32,7.11
858,Honda Mobilio RS,2014,23000,Diesel,24.5,1498,98.6,6.9
859,Hyundai i20 1.2,2018,15985,Petrol,18.6,1197,81.83,7.77
860,Toyota Innova 2.5,2011,98000,Diesel,12.8,2494,102.0,5.5
861,Hyundai i20 Magna,2014,70089,Petrol,18.6,1197,81.83,5.35
862,Mahindra Bolero VLX,2011,99000,Diesel,13.6,2523,63.0,4.5
863,Volkswagen Vento 1.5,2014,72000,Diesel,20.34,1498,103.2,4.75
864,Jaguar XF 2.2,2015,44194,Diesel,16.36,2179,187.7,32.8
865,Maruti Zen LXi,2005,102000,Petrol,17.3,993,60.0,0.7
866,Mercedes-Benz E-Class Facelift,2018,56652,Diesel,13.0,2987,258.0,50.29
867,Toyota Fortuner 3.0,2010,41650,Diesel,11.5,2982,171.0,10.99
868,Hyundai Grand i10,2015,61717,Petrol,18.9,1197,82.0,5.57
869,Hyundai Xcent 1.2,2018,25302,Diesel,25.4,1186,73.97,5.9
870,Hyundai Creta 1.6,2016,47016,Petrol,15.29,1591,121.3,9.43
871,Hyundai i10 Sportz,2010,69000,Petrol,20.36,1197,78.9,2.9
872,Honda Brio S,2016,32700,Petrol,19.4,1198,86.8,3.68
873,Toyota Fortuner 4x2,2015,101337,Diesel,12.55,2982,168.5,21.67
874,Audi A4 2.0,2011,59000,Diesel,16.55,1968,140.0,12.5
875,Toyota Innova Crysta,2018,41736,Diesel,11.36,2755,171.5,19.92
876,Honda City i,2014,71649,Diesel,25.1,1498,98.6,6.75
877,Honda City i,2015,80606,Diesel,25.1,1498,98.6,6.96
878,Renault KWID 1.0,2017,63262,Petrol,21.7,999,67.0,3.25
879,Maruti Swift DDiS,2018,5456,Diesel,28.4,1248,74.0,8.65
880,Maruti Celerio VXI,2017,7500,Petrol,23.1,998,67.04,5.0
881,Mahindra XUV500 W8,2011,66000,Diesel,15.1,2179,140.0,5.5
882,Hyundai i10 Magna,2010,66770,Petrol,20.36,1197,78.9,2.6
883,Hyundai i10 Magna,2014,58472,Petrol,19.81,1086,68.05,3.41
884,Maruti Dzire VXI,2011,46687,Petrol,22.0,1197,81.8,2.7
885,Maruti Grand Vitara,2008,77000,Petrol,9.7,1995,163.5,5.5
886,Audi TT 40,2012,7000,Petrol,14.33,1984,226.6,35.0
887,Mercedes-Benz New C-Class,2011,48000,Petrol,14.74,1991,184.0,9.75
888,Nissan Sunny 2011-2014,2013,47000,Diesel,21.64,1461,84.8,4.25
889,Maruti Wagon R,2015,51530,Petrol,18.9,998,67.1,3.2
890,Maruti Swift Dzire,2014,25789,Diesel,23.4,1248,74.0,6.85
891,Honda Amaze S,2015,48000,Diesel,25.8,1498,98.6,4.5
892,Maruti Swift ZDI,2012,52000,Diesel,28.4,1248,74.0,3.55
893,Hyundai Accent Executive,2010,95637,CNG,13.2,1495,93.7,1.9
894,Mahindra Scorpio LX,2008,131000,Diesel,10.5,2609,120.0,3.6
895,Mercedes-Benz E-Class E250,2015,42076,Diesel,13.0,2143,201.1,21.8
896,Toyota Fortuner 4x2,2012,76000,Diesel,13.0,2982,168.5,13.5
897,Datsun redi-GO T,2016,20487,Petrol,22.7,799,53.64,2.66
898,Honda City V,2010,43000,Petrol,16.8,1497,116.3,3.75
899,Toyota Camry Hybrid,2018,17000,Petrol,19.16,2494,158.2,32.0
900,Honda City i,2016,60805,Diesel,26.0,1498,98.6,8.07
901,Volkswagen Jetta 2012-2014,2012,58775,Diesel,19.33,1968,138.1,5.64
902,Audi A6 2011-2015,2013,70181,Diesel,17.68,1968,174.33,23.99
903,Maruti Ertiga VDI,2016,85827,Diesel,20.77,1248,88.76,7.5
904,Mercedes-Benz New C-Class,2016,58205,Diesel,19.27,2143,167.62,27.0
905,Maruti Swift Dzire,2008,91000,Diesel,19.3,1248,73.9,2.85
906,Renault Duster 110PS,2012,74000,Diesel,19.01,1461,108.45,6.35
907,Maruti Ritz VDi,2010,79324,Diesel,21.1,1248,73.9,3.3
908,Maruti Swift Dzire,2013,38623,Petrol,19.1,1197,85.8,5.0
909,Maruti Swift ZDi,2014,59923,Diesel,22.9,1248,74.0,6.46
910,Hyundai EON Sportz,2017,23360,Petrol,21.1,814,55.2,3.75
911,Maruti Zen VXI,2003,61495,Petrol,17.3,993,60.0,1.52
912,Maruti Eeco 7,2012,56661,Petrol,15.1,1196,73.0,3.61
913,Audi Q5 30,2017,40318,Diesel,14.16,1968,174.3,43.74
914,Audi Q3 2.0,2014,60000,Diesel,15.73,1968,174.33,20.0
915,Smart Fortwo CDI,2008,103000,Diesel,0.0,799,74.0,3.0
916,Maruti Swift Dzire,2010,130000,Diesel,19.3,1248,73.9,3.65
917,Tata Sumo DX,2013,20000,Diesel,14.07,1978,83.1,5.25
918,BMW X5 2014-2019,2016,76000,Diesel,15.97,2993,258.0,58.0
919,Honda City i-VTEC,2015,30000,Petrol,18.0,1497,117.3,8.65
920,Tata Indigo eCS,2015,150000,Diesel,25.0,1396,69.01,2.5
921,Volkswagen Vento TSI,2014,28000,Petrol,16.93,1197,103.6,7.75
922,Maruti Celerio VXI,2015,74000,Petrol,23.1,998,67.04,4.15
923,Toyota Fortuner 3.0,2011,75000,Diesel,11.5,2982,171.0,10.85
924,Mitsubishi Outlander 2.4,2010,76000,Petrol,11.3,2360,170.0,5.53
925,Volkswagen Jetta 2007-2011,2014,64889,Diesel,15.5,1896,105.0,11.5
926,Porsche Cayman 2009-2012,2010,10000,Petrol,9.0,3436,74.0,40.0
927,Hyundai Creta 1.6,2015,43000,Diesel,19.67,1582,126.2,9.25
928,Skoda Fabia 1.2,2011,47490,Petrol,17.5,1198,75.0,2.29
929,Ford EcoSport 1.5,2015,80000,Diesel,22.77,1498,98.59,7.0
930,Maruti Zen Estilo,2007,60000,Petrol,18.2,1061,64.0,1.65
931,Maruti Ciaz 1.4,2017,6006,Petrol,20.73,1373,91.1,8.25
932,Mercedes-Benz New C-Class,2011,71703,Petrol,14.74,1991,181.03,9.14
933,Honda Amaze SX,2016,33000,Petrol,17.8,1198,86.7,6.5
934,Toyota Etios GD,2012,60000,Diesel,23.59,1364,74.0,2.95
935,Renault Duster 85PS,2015,91000,Diesel,19.87,1461,83.8,5.75
936,Maruti Wagon R,2012,72000,LPG,26.2,998,58.2,2.85
937,Volkswagen Polo Petrol,2011,43000,Petrol,16.47,1198,73.9,2.1
938,Hyundai Creta 1.6,2017,63770,Diesel,19.67,1582,126.2,13.55
939,Jaguar XF Diesel,2012,43510,Diesel,14.74,2993,270.9,20.5
940,Jeep Compass 2.0,2017,52000,Diesel,16.3,1956,170.0,20.0
941,Land Rover Range,2018,31427,Diesel,15.68,1999,177.0,59.72
942,Maruti Baleno Alpha,2016,29000,Diesel,27.39,1248,74.0,6.5
943,Maruti Ciaz ZDi,2016,56000,Diesel,28.09,1248,88.5,7.5
944,Maruti SX4 Vxi,2007,76000,Petrol,15.0,1586,104.68,2.15
945,Hyundai Elantra CRDi,2015,53615,Diesel,22.7,1582,126.24,8.44
946,Mitsubishi Pajero Sport,2013,132000,Diesel,13.5,2477,175.56,12.49
947,Volkswagen Ameo 1.2,2017,14800,Petrol,17.0,1198,73.75,5.48
948,Maruti Ritz VXi,2013,35433,Petrol,18.5,1197,85.8,4.2
949,Hyundai Verna CRDi,2013,82966,Diesel,16.8,1493,110.0,7.2
950,Maruti Swift Dzire,2014,96000,Diesel,23.4,1248,74.0,4.8
951,Mahindra KUV 100,2017,39528,Diesel,25.32,1198,77.0,5.83
952,Toyota Innova Crysta,2018,92056,Diesel,13.68,2393,147.8,18.39
953,Maruti Baleno Delta,2016,14930,Petrol,21.4,1197,83.1,5.85
954,Honda Jazz VX,2016,38000,Diesel,27.3,1498,98.6,6.21
955,Hyundai i20 1.2,2013,71000,Petrol,17.0,1197,80.0,3.65
956,Hyundai i20 Sportz,2012,71000,Diesel,23.0,1396,90.0,3.7
957,Mercedes-Benz New C-Class,2015,50000,Diesel,19.27,2143,167.62,30.0
958,Hyundai Xcent 1.2,2016,48163,Petrol,19.1,1197,82.0,4.85
959,Hyundai Grand i10,2017,19168,Petrol,18.9,1197,82.0,6.93
960,Maruti Alto 800,2016,26000,Petrol,22.74,796,47.3,2.6
961,Chevrolet Sail Hatchback,2014,37400,Petrol,18.2,1199,82.5,1.89
962,Mercedes-Benz C-Class Progressive,2018,8682,Diesel,0.0,1950,194.0,39.5
963,Skoda Superb Elegance,2012,95000,Petrol,13.7,1798,157.75,10.0
964,Audi A4 2.0,2009,34000,Diesel,16.55,1968,147.51,9.95
965,Toyota Innova 2.5,2014,95000,Diesel,12.8,2494,102.0,9.45
966,Mercedes-Benz CLA 200,2017,13689,Diesel,17.9,2143,136.0,28.25
967,Hyundai i10 Era,2008,84000,Petrol,19.81,1086,68.05,1.8
968,Maruti Swift Dzire,2008,47000,Petrol,17.5,1298,85.8,1.4
969,Skoda Rapid 1.5,2015,60001,Diesel,21.66,1498,103.52,7.25
970,Maruti Ritz VDi,2012,96000,Diesel,21.1,1248,73.9,3.6
971,Hyundai Accent GLS,2004,47300,Petrol,14.4,1599,94.0,1.2
972,Honda Amaze SX,2014,28246,Petrol,17.8,1198,86.7,4.94
973,Maruti Wagon R,2007,65000,Petrol,18.9,998,67.1,1.25
974,Volkswagen Polo Diesel,2013,68000,Diesel,22.07,1199,73.9,4.8
975,Ford Endeavour 2.2,2019,11209,Diesel,12.62,2198,158.0,31.15
976,Hyundai i20 1.2,2011,41980,Petrol,17.0,1197,80.0,3.3
977,Chevrolet Beat Diesel,2012,65000,Diesel,25.44,936,57.6,2.4
978,Honda Civic 2010-2013,2010,38000,Petrol,14.8,1799,130.2,2.0
979,Maruti Wagon R,2014,51000,Petrol,20.51,998,67.04,3.1
980,Skoda Rapid 1.6,2014,33855,Petrol,15.0,1598,103.6,5.09
981,Maruti Baleno Vxi,2006,146000,Petrol,15.4,1590,94.0,1.05
982,Ford EcoSport 1.5,2015,47037,Diesel,22.77,1498,98.59,7.0
983,Hyundai Accent GLE,2010,58000,Petrol,13.2,1495,94.0,2.5
984,BMW 5 Series,2012,61240,Diesel,22.48,1995,190.0,17.5
985,Maruti Alto K10,2011,91211,Petrol,20.92,998,67.1,2.1
986,Audi Q3 2012-2015,2013,84000,Diesel,15.73,1968,174.33,17.75
987,Maruti Wagon R,2008,64226,LPG,17.3,1061,57.5,1.45
988,Toyota Corolla H4,2005,67000,Petrol,11.3,1794,125.0,2.45
989,Volvo XC60 D5,2011,106976,Diesel,13.5,2400,215.0,13.8
990,Honda Jazz 1.5,2016,27210,Diesel,27.3,1498,98.6,5.85
991,Maruti Ciaz 1.3,2017,26322,Diesel,28.09,1248,88.5,8.9
992,Maruti Swift VXI,2016,9107,Petrol,20.4,1197,81.8,5.15
993,Mercedes-Benz New C-Class,2015,63983,Diesel,19.27,2143,170.0,16.56
994,Maruti Wagon R,2010,134000,Petrol,18.9,1061,67.0,1.65
995,Mercedes-Benz A Class,2015,11000,Petrol,15.5,1595,120.7,16.0
996,Hyundai Santro Xing,2008,93000,Petrol,0.0,1086,62.0,1.45
997,Maruti Swift Dzire,2017,24852,Diesel,26.59,1248,74.0,8.08
998,Hyundai Grand i10,2014,37632,Petrol,18.9,1197,82.0,4.5
999,Nissan Sunny 2011-2014,2013,55000,Petrol,16.95,1498,97.7,4.3
1000,Maruti A-Star Lxi,2010,81448,Petrol,19.0,998,66.1,2.6
1001,Renault KWID RXT,2018,1900,Petrol,25.17,799,53.3,4.45
1002,Hyundai Verna 1.6,2012,54957,Petrol,17.1,1591,121.4,5.37
1003,Maruti Wagon R,2008,55000,Petrol,18.9,1061,67.0,1.75
1004,BMW 3 Series,2013,21983,Diesel,18.88,1995,184.0,16.5
1005,BMW 5 Series,2013,76000,Diesel,18.48,1995,177.0,19.0
1006,Tata Indigo CS,2016,65000,Diesel,25.0,1396,69.01,2.8
1007,Hyundai i20 Sportz,2015,26000,Diesel,22.54,1396,88.73,6.2
1008,Maruti Omni E,2019,11571,Petrol,16.8,796,34.2,3.8
1009,Maruti Swift ZDi,2014,81000,Diesel,25.2,1248,74.0,6.1
1010,Ford Ecosport Signature,2019,23154,Diesel,23.0,1498,98.96,11.65
1011,Honda Brio VX,2014,26856,Petrol,16.5,1198,86.8,4.15
1012,Toyota Innova Crysta,2017,67489,Diesel,13.68,2393,147.8,16.5
1013,Mahindra Scorpio 2.6,2008,176000,Diesel,10.5,2179,120.0,4.3
1014,Hyundai i20 1.2,2010,18000,Petrol,18.5,1197,80.0,2.25
1015,Hyundai Verna 1.6,2014,63003,Diesel,22.32,1582,126.32,6.75
1016,Mahindra XUV500 W6,2014,80000,Diesel,15.1,2179,140.0,9.4
1017,Volkswagen Vento 1.5,2014,56658,Diesel,20.64,1498,108.5,5.39
1018,Maruti Swift Dzire,2019,18592,Diesel,26.59,1248,74.0,8.51
1019,Tata Manza Aura,2010,75695,Petrol,13.7,1368,88.8,1.85
1020,Maruti Swift VDI,2012,82000,Diesel,22.9,1248,74.0,2.5
1021,Volkswagen Polo Diesel,2013,60000,Diesel,22.07,1199,73.9,4.75
1022,Honda City 1.5,2009,138000,Petrol,17.0,1497,118.0,3.5
1023,Hyundai i20 Asta,2014,67000,Diesel,23.0,1396,90.0,5.5
1024,Honda City 1.5,2012,42750,Petrol,17.0,1497,118.0,6.33
1025,Chevrolet Beat Diesel,2014,52398,Diesel,25.44,936,57.6,2.47
1026,Chevrolet Spark 1.0,2014,36657,Petrol,16.2,995,62.1,3.3
1027,Tata New Safari,2011,77000,Diesel,11.57,2179,138.1,3.5
1028,Mercedes-Benz GL-Class 350,2014,85000,Diesel,11.3,2987,254.8,38.75
1029,BMW 5 Series,2008,112500,Diesel,11.5,2993,235.0,7.99
1030,Toyota Fortuner 2.8,2013,105072,Diesel,14.24,2755,174.5,13.28
1031,BMW X1 sDrive,2012,80000,Petrol,11.25,1995,150.0,9.5
1032,Renault Captur 1.5,2019,3102,Diesel,20.37,1461,108.45,14.01
1033,Hyundai Xcent 1.1,2016,14656,Diesel,24.4,1120,71.0,6.99
1034,BMW 3 Series,2010,105000,Diesel,13.2,1995,170.0,11.0
1035,BMW 5 Series,2008,61000,Petrol,10.8,2497,215.0,11.0
1036,Nissan Micra XE,2010,85046,Petrol,18.06,1198,75.0,2.3
1037,Jaguar XF 2.2,2014,48000,Diesel,16.36,2179,187.7,26.5
1038,Land Rover Range,2011,55000,Diesel,10.2,4367,308.0,67.0
1039,Jeep Compass 1.4,2017,4000,Petrol,16.0,1368,160.0,17.75
1040,Honda CR-V 2.4,2010,94000,Petrol,10.1,2354,152.0,4.8
1041,Maruti Swift VXI,2013,61110,Petrol,18.6,1197,85.8,4.57
1042,Hyundai Xcent 1.1,2016,80000,Diesel,24.4,1120,71.0,3.5
1043,Nissan Terrano XV,2015,43190,Diesel,19.01,1461,108.5,7.61
1044,Audi A4 35,2015,45000,Diesel,18.25,1968,187.74,25.0
1045,Hyundai Grand i10,2016,44178,Petrol,18.9,1197,82.0,5.88
1046,Toyota Innova 2.5,2015,84415,Diesel,12.99,2494,100.6,13.5
1047,Hyundai i20 1.2,2015,35000,Petrol,18.5,1197,80.0,4.6
1048,Ford EcoSport 1.5,2013,44000,Diesel,22.77,1498,98.59,4.9
1049,Honda City 1.5,2012,67635,Petrol,17.0,1497,118.0,5.25
1050,Ford EcoSport 1.5,2018,18385,Petrol,14.8,1497,121.36,12.41
1051,Volkswagen Polo Diesel,2014,35000,Diesel,22.07,1199,73.9,3.8
1052,Mercedes-Benz New C-Class,2010,49000,Diesel,19.27,2143,170.0,8.95
1053,Ford Ecosport 1.5,2013,69000,Diesel,22.7,1498,89.84,7.2
1054,Tata Indigo GLE,2017,23228,Petrol,14.4,1396,65.0,4.5
1055,Maruti Swift Dzire,2014,68462,Diesel,26.59,1248,74.0,4.15
1056,Maruti S-Cross Zeta,2016,74611,Diesel,25.1,1248,88.5,7.94
1057,Renault Duster 110PS,2014,90000,Diesel,19.01,1461,108.45,7.25
1058,Maruti Wagon R,2016,22000,Petrol,18.9,998,67.1,3.7
1059,Hyundai Santro Xing,2010,58163,Petrol,0.0,1086,62.0,2.45
1060,Chevrolet Beat Diesel,2011,109500,Diesel,25.44,936,57.6,1.5
1061,Mahindra XUV500 W4,2017,13363,Diesel,16.0,1997,140.0,12.0
1062,Hyundai i10 Era,2012,51000,Petrol,19.81,1086,68.05,2.2
1063,Tata New Safari,2007,103000,Diesel,13.93,2179,138.0,3.6
1064,Hyundai i10 Sportz,2009,43002,Petrol,20.36,1197,78.9,1.92
1065,Toyota Innova Crysta,2016,108000,Diesel,11.36,2755,171.5,20.5
1066,Skoda Laura Elegance,2010,82407,Diesel,17.5,1896,106.0,4.25
1067,Hyundai Grand i10,2013,29000,Petrol,18.9,1197,82.0,3.2
1068,Toyota Etios Liva,2012,225000,Diesel,23.59,1364,74.0,2.6
1069,Maruti Swift Dzire,2014,45000,Diesel,23.4,1248,74.0,3.85
1070,Hyundai i20 Asta,2010,93401,Diesel,23.0,1396,90.0,3.48
1071,Ford Figo 2015-2019,2017,95802,Diesel,25.83,1498,99.0,4.55
1072,Maruti Ertiga VDI,2016,130000,Diesel,25.47,1248,88.5,7.0
1073,Maruti Ertiga ZDI,2013,67443,Diesel,20.77,1248,88.8,5.75
1074,Honda City 1.5,2016,47681,Petrol,16.8,1497,116.3,8.73
1075,Maruti Alto LXi,2009,35000,Petrol,19.7,796,46.3,1.7
1076,Ford Endeavour 3.2,2016,68000,Diesel,10.91,3198,197.0,29.5
1077,Maruti Vitara Brezza,2019,34688,Diesel,24.3,1248,88.5,10.49
1078,Porsche Boxster S,2015,10512,Petrol,8.6,2706,265.0,64.0
1079,Maruti Swift ZDi,2016,58000,Diesel,22.9,1248,74.0,7.55
1080,Tata Zest Revotron,2014,40000,Petrol,17.57,1193,88.7,3.95
1081,Hyundai i20 1.2,2010,61000,Petrol,17.0,1197,80.0,3.25
1082,Skoda Fabia 1.4,2009,86000,Diesel,19.4,1422,70.0,2.75
1083,Toyota Corolla Altis,2015,45000,Diesel,21.43,1364,87.2,7.35
1084,Volkswagen Ameo 1.2,2017,55000,Petrol,17.0,1198,73.75,4.7
1085,Hyundai Creta 1.6,2016,36855,Petrol,15.29,1591,121.3,8.77
1086,Hyundai i10 Magna,2013,46821,Petrol,20.36,1197,78.9,3.42
1087,Chevrolet Beat LS,2015,120000,Petrol,18.6,1199,76.8,2.5
1088,Jaguar XF 3.0,2012,29000,Diesel,14.74,2993,270.9,20.0
1089,Nissan Terrano XL,2014,40000,Petrol,13.24,1598,102.5,5.25
1090,Audi Q3 2012-2015,2013,60000,Diesel,15.73,1968,174.33,14.5
1091,Hyundai i10 Asta,2011,64984,Petrol,16.95,1197,78.9,3.45
1092,Maruti Alto K10,2015,73204,Petrol,24.07,998,67.1,3.3
1093,Audi Q7 4.2,2014,50000,Diesel,11.33,4134,335.2,51.0
1094,Maruti Vitara Brezza,2017,35000,Diesel,24.3,1248,88.5,6.5
1095,Hyundai EON D,2013,17729,Petrol,21.1,814,55.2,3.65
1096,Mahindra XUV300 W8,2012,97000,Diesel,20.0,1497,115.0,7.25
1097,Hyundai Verna CRDi,2014,89614,Diesel,22.0,1582,126.2,6.01
1098,Maruti Wagon R,2015,14000,Petrol,18.9,998,67.1,2.8
1099,Hyundai i20 Sportz,2012,50000,Petrol,17.0,1197,80.0,4.0
1100,Honda City i,2014,62505,Petrol,17.4,1497,117.3,5.95
1101,Toyota Innova 2.5,2011,248000,Diesel,12.8,2494,102.0,9.2
1102,Hyundai Verna CRDi,2012,94900,Diesel,16.8,1493,110.0,5.35
1103,Tata Hexa XT,2017,55000,Diesel,17.6,2179,153.86,12.0
1104,Audi Q7 3.0,2015,53735,Diesel,12.07,2967,241.4,38.94
1105,Maruti Wagon R,2008,53934,Petrol,18.9,998,67.1,2.69
1106,BMW 5 Series,2013,58500,Diesel,17.09,1995,218.0,27.5
1107,Honda Amaze EX,2014,48000,Petrol,18.0,1198,86.7,2.75
1108,Maruti Alto 800,2016,24000,Petrol,24.7,796,47.3,2.8
1109,Hyundai Verna 1.6,2016,52001,Petrol,17.01,1591,121.3,6.45
1110,Tata Tiago 1.2,2018,9565,Petrol,23.84,1199,84.0,5.88
1111,Maruti Swift LXI,2013,32953,Petrol,18.6,1197,85.8,4.65
1112,Hyundai EON Era,2014,18000,Petrol,21.1,814,55.2,2.5
1113,Mercedes-Benz E-Class E,2018,20446,Petrol,12.6,1950,191.34,51.35
1114,Hyundai i20 Magna,2016,33016,Diesel,22.54,1396,88.73,6.85
1115,Toyota Etios VD,2012,48000,Diesel,23.59,1364,67.05,5.25
1116,Toyota Corolla Altis,2014,72022,Diesel,21.43,1364,87.2,9.23
1117,Mini Cooper 5,2014,34000,Diesel,20.7,1496,113.98,22.0
1118,Volkswagen Polo 1.5,2014,69000,Diesel,20.14,1498,88.8,5.19
1119,Skoda Superb Elegance,2009,108000,Petrol,13.7,1798,157.75,4.35
1120,Mercedes-Benz E-Class 2009-2013,2013,34700,Diesel,10.0,2148,170.0,24.5
1121,Maruti Swift VDi,2015,79000,Diesel,17.8,1248,75.0,5.75
1122,Honda City i,2016,58197,Petrol,18.0,1497,117.3,9.19
1123,BMW 7 Series,2008,66000,Petrol,8.45,2979,321.0,10.75
1124,Hyundai i10 Magna,2009,60000,Petrol,19.2,1197,80.0,2.99
1125,Maruti Swift Dzire,2014,57000,Diesel,26.59,1248,74.0,3.89
1126,Honda City i,2018,45555,Diesel,26.0,1498,98.6,11.73
1127,Maruti Omni 8,2016,55137,Petrol,14.0,796,35.0,3.11
1128,Skoda Superb 2009-2014,2014,93325,Diesel,17.2,1968,138.1,14.45
1129,Maruti Ertiga SHVS,2018,38000,Diesel,24.52,1248,88.5,8.7
1130,Hyundai Grand i10,2016,57738,Diesel,24.0,1120,70.0,5.04
1131,Maruti Ciaz VDi,2017,38282,Diesel,28.09,1248,88.5,8.5
1132,Mercedes-Benz New C-Class,2014,64000,Diesel,19.27,2143,170.0,15.65
1133,Fiat Avventura MULTIJET,2015,32000,Diesel,20.5,1248,91.72,5.65
1134,Mercedes-Benz E-Class 2009-2013,2010,83000,Petrol,10.93,2497,204.0,16.5
1135,Maruti Zen Estilo,2011,76000,CNG,26.3,998,67.1,2.0
1136,Volkswagen Vento Petrol,2012,67200,Petrol,15.04,1598,103.6,3.9
1137,BMW 3 Series,2013,62655,Diesel,18.88,1995,184.0,14.5
1138,BMW 5 Series,2015,16900,Diesel,14.69,2993,258.0,44.0
1139,Hyundai Grand i10,2017,8471,Petrol,18.9,1197,81.86,5.0
1140,Toyota Innova Crysta,2016,69000,Diesel,11.36,2755,171.5,19.75
1141,Renault Duster 110PS,2017,30090,Diesel,19.6,1461,108.45,11.44
1142,Tata Indica Vista,2011,120000,Diesel,18.0,1248,75.0,1.75
1143,Maruti Swift VDI,2013,23000,Diesel,17.8,1248,74.0,5.6
1144,Mercedes-Benz E-Class 2009-2013,2016,35939,Petrol,12.3,1796,185.0,30.42
1145,Mahindra XUV500 W8,2013,116694,Diesel,15.1,2179,140.0,9.57
1146,Mahindra Bolero ZLX,2016,40448,Diesel,15.96,2523,62.1,3.5
1147,Maruti Vitara Brezza,2018,64456,Diesel,24.3,1248,88.5,10.46
1148,Fiat Avventura MULTIJET,2014,52782,Diesel,20.5,1248,91.72,4.85
1149,Honda Amaze S,2016,51672,Petrol,19.5,1199,88.76,5.68
1150,Skoda Superb Elegance,2015,56073,Petrol,13.7,1798,157.75,13.25
1151,Jaguar XF 3.0,2011,65000,Diesel,14.74,2993,270.9,16.0
1152,Maruti Wagon R,2013,79000,Petrol,18.9,998,67.1,3.0
1153,Hyundai Santro Xing,2007,43206,Petrol,17.0,1086,74.0,0.99
1154,Toyota Corolla Altis,2010,70200,Petrol,14.53,1798,138.1,5.0
1155,Maruti Swift VXi,2016,42000,Petrol,16.1,1197,85.0,4.75
1156,Volkswagen Polo 1.2,2014,62000,Petrol,16.47,1198,74.0,5.35
1157,Hyundai Grand i10,2017,20000,Petrol,18.9,1197,81.86,5.98
1158,Maruti SX4 ZDI,2011,80000,Diesel,21.5,1248,88.8,3.5
1159,Hyundai Grand i10,2018,50234,Petrol,18.9,1197,81.86,4.77
1160,Maruti Baleno Delta,2016,50003,Petrol,21.4,1197,83.1,5.45
1161,Tata Tigor 1.2,2018,1000,Petrol,20.3,1199,84.0,6.85
1162,Maruti Swift Dzire,2016,54897,Diesel,26.59,1248,74.0,7.3
1163,Tata Indica GLS,2007,108995,Petrol,15.3,1193,65.3,1.25
1164,Maruti SX4 S,2015,73000,Diesel,22.7,1598,118.0,8.25
1165,Maruti Swift VXI,2008,65000,Petrol,16.1,1298,88.2,2.71
1166,Hyundai Xcent 1.2,2016,32000,Petrol,19.1,1197,82.0,3.6
1167,Hyundai i20 1.2,2010,65000,Petrol,18.5,1197,80.0,3.0
1168,Maruti Celerio VXI,2016,21600,Petrol,23.1,998,67.04,4.65
1169,Mercedes-Benz New C-Class,2010,39000,Diesel,14.84,2143,170.0,9.5
1170,Maruti Swift Dzire,2011,58075,Petrol,17.5,1298,85.8,2.95
1171,Volkswagen Vento Petrol,2011,58000,Petrol,15.04,1598,103.6,3.0
1172,Maruti Swift ZDi,2015,58000,Diesel,25.2,1248,74.0,5.95
1173,Toyota Corolla Altis,2008,89000,Petrol,14.53,1798,138.1,4.0
1174,Honda Civic 2006-2010,2008,72000,Petrol,13.5,1799,130.0,2.5
1175,Ford EcoSport 1.5,2017,1800,Petrol,16.05,1499,110.4,11.37
1176,Fiat Linea Emotion,2010,172050,Diesel,19.0,1248,93.0,2.25
1177,Hyundai i10 Era,2013,46230,Petrol,19.81,1086,68.05,3.1
1178,Volvo XC60 D5,2014,86925,Diesel,11.2,2400,215.0,17.18
1179,Hyundai i20 1.2,2018,5000,Petrol,18.6,1197,81.83,6.5
1180,Honda City i,2014,66000,Diesel,26.0,1498,98.6,5.7
1181,Toyota Innova 2.5,2013,119000,Diesel,12.99,2494,100.0,8.0
1182,Renault KWID RXT,2016,45000,Petrol,25.17,799,53.3,2.6
1183,Maruti A-Star Vxi,2009,66149,Petrol,19.0,998,66.1,2.45
1184,Mercedes-Benz B Class,2014,42070,Petrol,14.8,1595,120.7,11.57
1185,Maruti Wagon R,2012,35503,Petrol,18.9,998,67.1,2.3
1186,Maruti Swift VDI,2016,41460,Diesel,25.2,1248,74.0,5.9
1187,Hyundai Verna VTVT,2015,40600,Petrol,17.0,1591,121.3,7.2
1188,Hyundai Verna CRDi,2013,87000,Diesel,22.0,1582,126.2,5.9
1189,Honda City V,2014,30000,Petrol,16.8,1497,116.3,6.0
1190,Hyundai i10 Magna,2010,27089,Petrol,16.0,1086,66.7,1.95
